snapshot_index,snapshot_time,vector_index,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude_m,on_ground,velocity_m_s,true_track_deg,vertical_rate_m_s,sensors,geo_altitude_m,squawk,spi,position_source,category
1,1786673155,19,45b534,GAV596  ,Denmark,1786673153,1786673154,9.474,48.7181,11582.4,False,222.93,302.37,0,null,12184.38,0521,False,0,
1,1786673155,20,4d240c,EWG53L  ,Malta,1786673153,1786673154,10.6347,49.244,5189.22,False,186.49,248.81,10.08,null,5524.5,6676,False,0,
1,1786673155,21,ad35c8,N950MP  ,United States,1786673154,1786673154,11.2781,45.9506,13716,False,255.47,118.11,0,null,14356.08,1151,False,0,
1,1786673155,22,3889ff,LA2     ,France,1786673155,1786673155,5.0917,45.7174,,True,5.66,171.56,,null,,,False,0,
1,1786673155,23,4b17fd,SWR7DC  ,Switzerland,1786673098,1786673154,8.5674,47.4443,,True,0.26,244.69,,null,,2000,False,0,
2,1786673160,1,a48850,UPS266  ,United States,1786673159,1786673160,9.4818,48.3811,11887.2,False,241.82,152.78,0,null,12458.7,0633,False,0,
2,1786673160,2,896175,UAE4M   ,United Arab Emirates,1786673159,1786673159,5.0616,45.5396,10972.8,False,255.67,110,0,null,11567.16,2366,False,0,
2,1786673160,3,3849ff,M02     ,France,1786673159,1786673159,7.5312,47.5871,,True,18.52,334.69,,null,,,False,0,
2,1786673160,4,407fac,TOM8VC  ,United Kingdom,1786673158,1786673159,9.0286,48.9207,11582.4,False,228.42,300.9,0,null,12176.76,2245,False,0,
2,1786673160,5,3c815e,F172    ,Germany,1786673142,1786673143,9.2005,48.6854,,True,1.29,70.31,,null,,,False,0,
2,1786673160,6,7c8066,QFA219  ,Australia,1786673159,1786673160,11.6172,49.3929,12184.38,False,244.2,293.59,0,null,12771.12,3224,False,0,
2,1786673160,7,45ce47,SRR6382 ,Denmark,1786673160,1786673160,6.2991,48.5472,11887.2,False,233.64,181.51,0,null,12473.94,4126,False,0,
2,1786673160,8,3c5434,BCS6GA  ,Germany,1786673159,1786673159,8.7767,45.7476,3398.52,False,176.54,148.95,-6.5,null,3695.7,1000,False,0,
2,1786673160,9,4b5d62,VIKTOR21,Switzerland,1786673156,1786673156,8.5625,47.4577,,True,2.83,272.81,,null,,,False,0,
2,1786673160,10,4b5d54,GALA6   ,Switzerland,1786673159,1786673159,8.5499,47.4581,,True,4.12,275.62,,null,,,False,0,
2,1786673160,11,4b5d6e,VIKTOR31,Switzerland,1786673158,1786673158,8.5624,47.441,,True,2.83,154.69,,null,,,False,0,
2,1786673160,12,4b5c39,GALA21  ,Switzerland,1786673156,1786673156,8.5502,47.458,,True,4.37,275.62,,null,,,False,0,
2,1786673160,13,4b5c1b,URSULA8 ,Switzerland,1786673154,1786673157,8.5628,47.4568,,True,0.06,208.12,,null,,,False,0,
2,1786673160,14,440b61,TAY5DN  ,Austria,1786673159,1786673159,5.0066,49.4601,10873.74,False,232.46,35.91,5.53,null,11414.76,1000,False,0,
2,1786673160,15,48ea3a,ENT1511 ,Poland,1786673159,1786673160,8.0776,47.9002,10972.8,False,229.54,225.45,0,null,11551.92,7541,False,0,
2,1786673160,16,424cbf,MACOR   ,United Kingdom,1786673159,1786673159,11.2404,46.8917,9845.04,False,244.63,222.78,-8.78,null,10386.06,1000,False,0,
2,1786673160,17,a61c53,THY6091 ,United States,1786673158,1786673159,10.8196,49.385,10363.2,False,243.05,288.51,0,null,10888.98,1000,False,0,
2,1786673160,18,8966d5,ETD2    ,United Arab Emirates,1786673159,1786673160,7.6044,47.8892,11277.6,False,259.77,103.98,0,null,11856.72,2250,False,0,
2,1786673160,19,4d253b,EWG40C  ,Malta,1786673159,1786673160,5.7885,46.5431,11277.6,False,225.32,198.23,0,null,11894.82,1000,False,0,
2,1786673160,20,45b534,GAV596  ,Denmark,1786673158,1786673159,9.4611,48.7235,11582.4,False,222.93,302.37,-0.33,null,12184.38,0521,False,0,
2,1786673160,21,4d240c,EWG53L  ,Malta,1786673159,1786673159,10.6218,49.2407,5242.56,False,192.03,248.8,9.43,null,5600.7,6676,False,0,
2,1786673160,22,ad35c8,N950MP  ,United States,1786673159,1786673160,11.2937,45.9448,13716,False,255.71,118.21,0,null,14356.08,1151,False,0,
2,1786673160,23,3889ff,LA2     ,France,1786673159,1786673159,5.0918,45.7172,,True,7.2,168.75,,null,,,False,0,
2,1786673160,24,4b17fd,SWR7DC  ,Switzerland,1786673098,1786673160,8.5674,47.4443,,True,0.06,244.69,,null,,2000,False,0,
3,1786673174,1,a48850,UPS266  ,United States,1786673173,1786673174,9.5029,48.3537,11894.82,False,241.82,152.78,0,null,12466.32,0633,False,0,
3,1786673174,2,896175,UAE4M   ,United Arab Emirates,1786673173,1786673173,5.104,45.5287,10972.8,False,255.67,110,0,null,11567.16,2366,False,0,
3,1786673174,3,3849ff,M02     ,France,1786673173,1786673173,7.5295,47.5896,,True,22.12,334.69,,null,,,False,0,
3,1786673174,4,407fac,TOM8VC  ,United Kingdom,1786673172,1786673173,8.9906,48.9357,11582.4,False,228.42,300.9,0,null,12176.76,2245,False,0,
3,1786673174,5,3c815e,F172    ,Germany,1786673173,1786673173,9.2024,48.6862,,True,5.66,73.12,,null,,,False,0,
3,1786673174,6,7c8066,QFA219  ,Australia,1786673173,1786673173,11.5747,49.405,12184.38,False,243.99,293.48,0,null,12771.12,3224,False,0,
3,1786673174,7,45ce47,SRR6382 ,Denmark,1786673173,1786673174,6.298,48.5185,11887.2,False,233.65,181.64,0,null,12473.94,4126,False,0,
3,1786673174,8,3c5434,BCS6GA  ,Germany,1786673173,1786673173,8.7918,45.7287,3314.7,False,167.29,152.33,-5.85,null,3604.26,1000,False,0,
3,1786673174,9,4b5d62,VIKTOR21,Switzerland,1786673173,1786673173,8.5619,47.4578,,True,2.57,275.62,,null,,,False,0,
3,1786673174,10,4b5d54,GALA6   ,Switzerland,1786673173,1786673173,8.5491,47.4582,,True,4.37,278.44,,null,,,False,0,
3,1786673174,11,4b5d6e,VIKTOR31,Switzerland,1786673163,1786673163,8.5624,47.4409,,True,2.57,219.38,,null,,,False,0,
3,1786673174,12,4b5c39,GALA21  ,Switzerland,1786673173,1786673173,8.549,47.4579,,True,4.89,247.5,,null,,,False,0,
3,1786673174,13,4b5c1b,URSULA8 ,Switzerland,1786673172,1786673173,8.5628,47.4568,,True,0,118.12,,null,,,False,0,
3,1786673174,14,440b61,TAY5DN  ,Austria,1786673173,1786673173,5.0333,49.484,10957.56,False,233.06,36.11,5.85,null,11498.58,1000,False,0,
3,1786673174,15,48ea3a,ENT1511 ,Poland,1786673174,1786673174,8.0462,47.8793,10972.8,False,229.54,225.45,0,null,11551.92,7541,False,0,
3,1786673174,16,424cbf,MACOR   ,United Kingdom,1786673173,1786673173,11.209,46.8685,9730.74,False,243.53,222.86,-8.13,null,10279.38,1000,False,0,
3,1786673174,17,a61c53,THY6091 ,United States,1786673173,1786673173,10.7743,49.3949,10363.2,False,243.05,288.51,0,null,10888.98,1000,False,0,
3,1786673174,18,8966d5,ETD2    ,United Arab Emirates,1786673173,1786673174,7.6513,47.8813,11277.6,False,258.28,104.06,0,null,11856.72,2250,False,0,
3,1786673174,19,4d253b,EWG40C  ,Malta,1786673174,1786673174,5.7767,46.5154,11277.6,False,225.56,195.75,0.33,null,11894.82,1000,False,0,
3,1786673174,20,45b534,GAV596  ,Denmark,1786673173,1786673173,9.4245,48.7388,11582.4,False,222.93,302.37,0.33,null,12184.38,0521,False,0,
3,1786673174,21,4d240c,EWG53L  ,Malta,1786673173,1786673173,10.5875,49.2319,5372.1,False,193.84,248.68,9.1,null,5745.48,6676,False,0,
3,1786673174,22,ad35c8,N950MP  ,United States,1786673174,1786673174,11.3345,45.9295,13716,False,255.71,118.21,-0.33,null,14356.08,1151,False,0,
3,1786673174,23,3889ff,LA2     ,France,1786673173,1786673173,5.0926,45.7164,,True,8.23,81.56,,null,,,False,0,
3,1786673174,24,4b17fd,SWR7DC  ,Switzerland,1786673098,1786673171,8.5674,47.4443,,True,0.39,244.69,,null,,2000,False,0,
